label,value
"Share with a Subprime Credit Score, All",subp_credit_all
"Share with a Subprime Credit Score, Communities of Color",subp_credit_coc
"Share with a Subprime Credit Score, Majority Asian and Pacific Islander Communitie",subp_credit_api
"Share with a Subprime Credit Score, Majority Black Communities",subp_credit_bla
"Share with a Subprime Credit Score, Majority Hispanic/Latinx Communities",subp_credit_lat
"Share with a Subprime Credit Score, Majority Native American and Alaskan Native Co",subp_credit_nat
"Share with a Subprime Credit Score, Majority White Communities",subp_credit_whi
"Median Credit Score, All",median_credit_score_all
"Median Credit Score, Communities of Color",median_credit_score_coc
"Median Credit Score, Majority American Indian and Alaskan Native Communities",median_credit_score_nat
"Median Credit Score, Majority Asian and Pacific Islander Communities",median_credit_score_api
"Median Credit Score, Majority Black Communities",median_credit_score_bla
"Median Credit Score, Majority Hispanic/Latinx Communities",median_credit_score_lat
"Median Credit Score, Majority White Communities",median_credit_score_whi
"Share with Any Debt in Collections, All",debt_in_collect_all
"Share with Any Debt in Collections, Communities of Color",debt_in_collect_coc
"Share with Any Debt in Collections, Majority American Indian and Alaskan Native ",debt_in_collect_nat
"Share with Any Debt in Collections, Majority Asian and Pacific Islander Communit",debt_in_collect_api
"Share with Any Debt in Collections, Majority Black Communities",debt_in_collect_bla
"Share with Any Debt in Collections, Majority Hispanic/Latinx Communities",debt_in_collect_lat
"Share with Any Debt in Collections, Majority White Communities",debt_in_collect_whi
"Median Debt in Collections, All",median_debt_in_collect_all
"Median Debt in Collections, Communities of Color",median_debt_in_collect_coc
"Median Debt in Collections, Majority American Indian and Alaskan Native Communit",median_debt_in_collect_nat
"Median Debt in Collections, Majority Asian and Pacific Islander Communities",median_debt_in_collect_api
"Median Debt in Collections, Majority Black Communities",median_debt_in_collect_bla
"Median Debt in Collections, Majority Hispanic/Latinx Communities",median_debt_in_collect_lat
"Median Debt in Collections, Majority White Communities",median_debt_in_collect_whi
"Average Credit Card Utilization, All",avg_cc_util_all
"Average Credit Card Utilization, Communities of Color",avg_cc_util_coc
"Average Credit Card Utilization, Majority American Indian and Alaskan Native Com",avg_cc_util_nat
"Average Credit Card Utilization, Majority Asian and Pacific Islander Communities",avg_cc_util_api
"Average Credit Card Utilization, Majority Black Communities",avg_cc_util_bla
