date,place,subp_credit_all,subp_credit_coc,subp_credit_whi,debt_in_collect_all,debt_in_collect_coc,debt_in_collect_whi,median_debt_in_collect_all,median_debt_in_collect_coc,median_debt_in_collect_whi,avg_cc_util_all,avg_cc_util_coc,avg_cc_util_whi,stud_loan_del_rate_all,stud_loan_del_rate_coc,stud_loan_del_rate_whi,cc_del_rate_all,cc_del_rate_coc,cc_del_rate_whi,auto_retail_loan_del_rate_all,auto_retail_loan_del_rate_coc,auto_retail_loan_del_rate_whi,mortgage_del_rate_all,mortgage_del_rate_coc,mortgage_del_rate_whi,afs_cred_all,afs_cred_coc,afs_cred_whi,del_afs_credit_rate_all,del_afs_credit_rate_coc,del_afs_credit_rate_whi
2/28/2020,01001,31.92,n/a**,31.46,33.01,n/a**,32.49,2141.00,n/a**,2136,32.79,n/a**,32.64,20.89,n/a**,20.53,7.72,n/a**,7.56,5.03,n/a**,5.29,3.1,n/a**,3.23,9.34,n/a**,9.41,12.79,n/a**,12.2
2/28/2020,01003,24.56,n/a**,24.65,28.49,n/a**,28.7,2393.00,n/a**,2414,30.52,n/a**,30.56,20.72,n/a**,20.65,5.06,n/a**,5.18,5.14,n/a**,5.09,2.58,n/a**,2.52,6.02,n/a**,6.02,14.29,n/a**,13.17
2/28/2020,01005,38.3,n/a*,n/a*,42.02,n/a*,n/a*,1557.00,n/a*,n/a*,39.39,n/a*,n/a*,n/a*,n/a*,n/a*,11.59,n/a*,n/a*,8.39,n/a*,n/a*,5.08,n/a*,n/a*,8.24,n/a*,n/a*,n/a*,n/a*,n/a*
2/28/2020,01007,40.96,n/a*,37.65,44.37,n/a*,42.51,1680.00,n/a*,1537,35.26,n/a*,33.33,n/a*,n/a*,n/a*,9.84,n/a*,10.38,7.25,n/a*,5.83,n/a*,n/a*,n/a*,8.19,n/a*,7.69,n/a*,n/a*,n/a*
2/28/2020,01009,30.18,n/a*,30.01,34.15,n/a*,34,2011.00,n/a*,2011,30.46,n/a*,30.46,19.78,n/a*,19.78,8,n/a*,8,6.45,n/a*,6.45,4.6,n/a*,4.6,6.43,n/a*,6.33,21.82,n/a*,22.22
2/28/2020,01011,45.11,45.04,n/a*,45.86,45.8,n/a*,1918.00,1960.00,n/a*,35.73,36.06,n/a*,n/a*,n/a*,n/a*,13.85,14.06,n/a*,10.17,10.34,n/a*,n/a*,n/a*,n/a*,15.79,16.03,n/a*,n/a*,n/a*,n/a*
2/28/2020,01013,38.17,n/a*,n/a*,39.43,n/a*,n/a*,1843.00,n/a*,n/a*,31.9,n/a*,n/a*,n/a*,n/a*,n/a*,9.09,n/a*,n/a*,10.85,n/a*,n/a*,n/a*,n/a*,n/a*,9.78,n/a*,n/a*,n/a*,n/a*,n/a*
2/28/2020,01015,37.39,n/a**,33.98,43.25,n/a**,39.97,2073.00,n/a**,2139,33.61,n/a**,32.87,22.11,n/a**,20.35,8.37,n/a**,7.97,7.9,n/a**,6.48,5.09,n/a**,4.37,8.16,n/a**,7.52,18.31,n/a**,17.59
2/28/2020,01017,39.97,n/a*,39.61,44.82,n/a*,44.71,1473.00,n/a*,1750,35.48,n/a*,32.97,21.57,n/a*,19.23,6.91,n/a*,8.26,7.41,n/a*,8.08,7.38,n/a*,n/a*,11.65,n/a*,12.94,9.72,n/a*,n/a*
2/28/2020,01019,31.76,n/a**,31.76,39.37,n/a**,39.37,1499.00,n/a**,1499,30.61,n/a**,30.61,n/a*,n/a**,n/a*,5.2,n/a**,5.2,4.27,n/a**,4.27,6.78,n/a**,6.78,5.25,n/a**,5.25,n/a*,n/a**,n/a*
2/28/2020,01021,36.82,n/a**,36.82,43.27,n/a**,43.27,2162.00,n/a**,2162,33.77,n/a**,33.77,29.69,n/a**,29.69,11.44,n/a**,11.44,6.94,n/a**,6.94,5.61,n/a**,5.61,8.45,n/a**,8.45,16.95,n/a**,16.95
2/28/2020,01023,36.68,43.08,36.36,43.72,53.85,39.09,2200.00,n/a*,n/a*,35.32,n/a*,36.96,n/a*,n/a*,n/a*,10.67,n/a*,10,7.04,n/a*,n/a*,n/a*,n/a*,n/a*,8.54,6.15,10,n/a*,n/a*,n/a*
2/28/2020,01025,38.4,n/a*,26.76,42.54,n/a*,30.99,1646.00,n/a*,n/a*,37.55,n/a*,n/a*,23.08,n/a*,n/a*,5.52,n/a*,n/a*,8.86,n/a*,n/a*,n/a*,n/a*,n/a*,9.94,n/a*,7.04,n/a*,n/a*,n/a*
2/28/2020,01027,37.98,n/a**,37.84,44.19,n/a**,40.54,2289.00,n/a**,2326,33.65,n/a**,34.03,n/a*,n/a**,n/a*,8.08,n/a**,8.7,14.55,n/a**,12.16,n/a*,n/a**,n/a*,5.43,n/a**,3.24,n/a*,n/a**,n/a*
2/28/2020,01029,28.09,n/a**,28.33,33.19,n/a**,33.48,2135.00,n/a**,2135,31.23,n/a**,31.44,n/a*,n/a**,n/a*,9.7,n/a**,9.7,7.22,n/a**,7.29,n/a*,n/a**,n/a*,4.26,n/a**,4.29,n/a*,n/a**,n/a*
2/28/2020,01031,27.49,n/a**,27.47,29.73,n/a**,30.04,2178.00,n/a**,2177,33.53,n/a**,33.61,13.76,n/a**,14.15,6.61,n/a**,6.39,4.56,n/a**,4.7,4.1,n/a**,4.21,6.84,n/a**,6.68,12.73,n/a**,11.54
